holiday,temp,clouds_all,weather_main,traffic_volume,hour,Weekday
no,291.29,90,Thunderstorm,622,0,7
no,290.59,90,Clouds,4036,18,6
no,278.21,90,Drizzle,6267,16,3
no,270.43,40,Clouds,4740,14,7
no,297.82,40,Clouds,1461,23,3
no,286.43,90,Rain,5447,14,3
no,289.56,90,Mist,5647,17,3
no,268.01,1,Clear,333,3,7
no,299.93,75,Clouds,2596,19,6
no,275.48,75,Mist,3115,19,2
no,286.59,1,Clear,2789,20,1
no,280.1,99,Drizzle,6283,8,3
no,275.61,90,Rain,271,4,7
no,296.3,40,Rain,3064,19,7
no,274.49,75,Clouds,5232,12,4
no,258.52,40,Clouds,1153,23,4
no,267.36,1,Clear,2819,20,6
no,274.788,20,Clouds,5350,6,4
no,290.0,40,Clouds,364,3,3
no,276.793,64,Clouds,242,3,7
no,291.52,90,Mist,5114,9,1
no,296.56,40,Clouds,5269,12,5
no,268.93,90,Clouds,4076,14,7
no,276.09,1,Fog,869,4,3
no,284.86,40,Mist,598,0,2
no,290.94,75,Smoke,4307,13,7
no,285.08,90,Clouds,4666,18,2
no,287.65,90,Rain,5762,15,2
no,288.37,90,Rain,6510,7,3
no,265.79,90,Snow,4392,10,6
no,279.44,1,Clear,2823,20,6
no,280.01,90,Drizzle,872,4,5
no,272.19,90,Snow,5806,6,1
no,275.43,90,Drizzle,6115,8,6
no,268.28,75,Mist,5128,9,6
no,273.08,90,Clouds,1840,8,7
no,276.04,64,Clouds,3429,19,3
no,290.71,90,Clouds,5649,15,3
no,295.58,1,Clear,2958,20,7
no,296.46,0,Clear,3188,19,3
no,294.03,40,Mist,2726,20,1
no,287.87,1,Clear,5759,15,2
no,291.15,1,Clear,6017,7,6
no,294.55,40,Drizzle,873,1,6
no,285.422,68,Clouds,4705,6,1
no,275.61,75,Clouds,5907,8,1
no,274.55,90,Snow,1194,8,4
no,270.71,90,Mist,462,5,6
no,281.65,1,Clear,4608,11,6
no,284.08,90,Rain,4381,15,6
no,272.83,5,Clear,5000,13,6
no,291.16,90,Rain,5933,16,7
no,290.39,90,Thunderstorm,1016,23,2
no,291.95,75,Drizzle,5538,7,3
no,270.29,90,Mist,3009,20,4
no,289.52,0,Clear,6508,7,4
no,272.65,90,Mist,4049,10,7
no,297.48,75,Mist,3629,18,1
no,268.22,90,Snow,3139,19,3
no,288.394,44,Clouds,319,2,1
no,286.07,36,Clouds,481,4,5
no,285.59,40,Clouds,5126,15,2
no,264.55,64,Mist,1654,22,1
no,273.41,90,Mist,5861,17,5
no,250.99,40,Mist,3921,10,2
no,263.93,1,Fog,773,4,7
no,285.57,88,Rain,6219,8,4
no,288.04,75,Clouds,2418,23,3
no,287.0,75,Mist,3026,5,2
no,282.3,1,Clear,3054,20,3
no,260.22,1,Clear,273,2,5
no,282.95,75,Clouds,334,3,6
no,287.464,0,Clear,4100,15,6
no,274.76,90,Snow,607,0,4
no,281.11,1,Clear,958,23,1
no,274.44,64,Rain,818,4,2
no,291.56,20,Clouds,4991,13,3
no,258.2,64,Haze,4939,9,3
no,292.95,1,Clear,3351,19,7
no,280.43,1,Mist,5719,8,3
no,271.23,20,Clouds,5966,8,5
no,295.96,32,Clouds,5458,11,5
no,273.51,90,Rain,113,4,7
no,291.09,1,Clear,4697,17,7
no,276.48,90,Mist,358,1,1
no,279.15,90,Clouds,4351,13,7
no,291.22,75,Rain,322,2,3
no,274.83,90,Drizzle,2462,22,4
no,262.45,90,Haze,3625,18,4
no,289.59,1,Clear,500,5,7
no,282.87,90,Rain,6332,8,2
no,263.02,87,Clouds,6076,8,2
no,284.86,1,Clear,2963,5,2
no,288.23,1,Clear,435,1,1
no,294.61,1,Clear,4393,17,6
no,298.08,1,Clear,2581,20,3
no,278.35,90,Snow,4655,14,7
no,268.94,1,Clear,4001,14,2
no,296.88,90,Clouds,4382,17,7
no,272.55,90,Clouds,3339,23,4
no,255.48,75,Clouds,349,4,6
no,249.43,40,Clouds,1841,22,4
no,277.08,75,Clouds,5191,11,5
no,287.27,92,Rain,5272,14,7
no,262.36,1,Snow,4949,11,4
no,291.95,90,Rain,2597,22,1
no,271.65,90,Fog,2712,21,3
no,297.51,1,Clear,4995,18,5
no,251.56,90,Clouds,5269,6,5
no,289.97,24,Mist,6160,7,2
no,274.94,90,Mist,568,0,4
no,273.46,1,Fog,323,3,2
no,297.888,0,Clear,337,3,3
no,284.85,1,Clear,840,1,6
no,298.07,1,Clear,4838,11,3
no,283.15,90,Clouds,4500,14,1
no,297.45,1,Thunderstorm,2147,21,1
no,287.28,90,Thunderstorm,5545,12,6
no,274.18,90,Mist,1629,23,5
no,277.43,1,Clear,4406,10,6
no,287.12,75,Clouds,3002,20,4
no,293.28,90,Rain,4974,9,3
no,297.08,76,Rain,6055,6,3
no,279.59,40,Clouds,2190,21,7
no,294.49,90,Rain,1588,22,5
no,285.43,1,Haze,853,4,1
no,261.5,90,Clouds,2547,20,6
no,283.8,1,Clear,336,1,5
no,286.64,90,Rain,3452,8,5
no,295.62,1,Clear,356,1,4
no,291.69,40,Clouds,2650,21,5
no,265.9,1,Clear,1059,23,2
no,293.75,0,Rain,761,2,2
no,289.88,1,Clear,879,4,3
no,290.09,1,Clear,2277,22,2
no,284.82,75,Clouds,5443,14,4
no,277.02,1,Drizzle,2622,5,3
no,291.72,40,Rain,3005,22,6
no,291.22,1,Clear,5097,6,5
no,278.15,90,Clouds,6918,16,4
no,295.66,1,Clear,1485,23,6
no,293.58,90,Rain,6105,17,3
no,287.48,90,Mist,517,0,1
no,268.68,90,Mist,4399,10,7
no,290.27,1,Clear,4966,10,5
no,259.15,90,Clouds,6735,16,2
no,289.29,40,Clouds,6005,14,5
no,274.75,90,Rain,5954,17,5
no,268.98,75,Clouds,2220,7,6
no,275.51,90,Mist,4233,15,5
no,268.08,75,Clouds,889,0,4
no,295.9,1,Thunderstorm,3201,19,1
no,298.41,75,Clouds,5067,12,2
no,294.55,75,Thunderstorm,514,1,4
no,283.95,1,Clear,2819,20,4
no,297.63,40,Clouds,6089,15,1
no,255.53,1,Haze,740,2,7
no,262.67,90,Snow,979,23,7
no,286.82,1,Clear,620,2,7
no,272.589,0,Clear,692,0,5
no,285.51,1,Clear,4925,15,6
no,266.22,1,Clear,3936,18,5
no,285.96,90,Mist,3390,9,7
no,282.34,90,Mist,2870,5,3
no,278.29,75,Clouds,5810,15,5
no,260.82,20,Clouds,5739,17,2
no,262.44,90,Clouds,5405,15,5
no,294.54,90,Thunderstorm,358,2,5
no,276.34,90,Clouds,4198,18,6
no,261.72,90,Snow,1543,20,5
no,292.55,90,Clouds,4548,13,1
no,277.01,90,Mist,4212,12,7
no,255.5,5,Snow,5045,9,2
no,282.06,40,Clouds,6154,17,2
no,292.02,0,Clear,3335,10,5
no,266.47,90,Clouds,1107,0,4
no,293.41,92,Clouds,5438,9,2
no,288.31,92,Clouds,3504,19,7
no,282.46,40,Clouds,2341,20,4
no,283.94,40,Clouds,4984,13,3
no,270.81,90,Snow,2131,20,5
no,279.55,90,Thunderstorm,257,2,4
no,294.89,90,Clouds,6456,17,1
no,281.62,90,Drizzle,2967,20,6
no,293.28,20,Haze,3830,11,7
no,296.01,1,Clear,4357,10,2
no,257.92,0,Clear,347,4,4
no,271.16,90,Clouds,258,2,2
no,295.01,40,Haze,4840,12,4
no,282.26,75,Clouds,346,3,2
no,275.22,1,Clear,601,0,2
no,272.4,90,Clouds,4412,18,6
no,299.29,40,Clouds,4911,12,3
no,284.36,90,Rain,5214,9,2
no,271.88,90,Mist,707,1,6
no,274.39,64,Clouds,2567,9,5
no,275.28,90,Snow,4992,14,1
no,273.03,1,Clear,360,3,6
no,272.06,1,Clear,1693,23,6
no,302.1,0,Clear,5762,15,5
no,257.57,90,Snow,2745,8,4
no,281.04,90,Clouds,5830,15,5
no,273.61,64,Snow,2415,20,5
no,289.15,1,Clear,5752,6,2
no,293.85,36,Rain,4944,9,1
no,262.56,1,Clear,580,2,6
no,267.28,90,Mist,3585,17,1
no,302.05,40,Clouds,3402,16,3
no,301.62,40,Clouds,4535,18,4
no,288.16,88,Clouds,4341,18,3
no,292.34,68,Rain,420,1,1
no,286.15,75,Rain,2904,21,6
no,292.08,5,Mist,6283,7,4
no,299.72,1,Clear,4929,13,7
no,293.6,1,Clear,1532,23,4
no,272.88,75,Clouds,5223,13,5
no,289.5,90,Mist,4469,18,3
no,293.9,75,Rain,5267,8,4
no,293.74,1,Clear,544,1,1
no,285.57,90,Clouds,4613,10,3
no,301.77,64,Rain,4766,18,1
no,268.01,90,Snow,2441,22,6
no,281.93,1,Clear,5004,9,7
no,271.15,40,Mist,413,3,6
no,274.28,90,Snow,5608,6,2
no,260.44,1,Clear,2567,21,6
no,292.74,1,Clear,319,4,3
no,272.16,40,Clouds,4220,10,2
no,295.57,90,Mist,4935,14,1
no,293.79,90,Thunderstorm,3940,16,4
no,270.94,75,Clouds,4584,18,3
no,260.8,64,Clouds,6314,16,5
no,284.56,1,Clear,4650,10,4
no,275.56,90,Mist,336,3,1
no,289.42,1,Clear,395,1,2
no,279.032,24,Clouds,4286,18,4
yes,277.22,90,Haze,833,0,4
no,279.87,1,Clear,381,2,2
no,257.86,64,Mist,257,2,6
no,290.82,90,Rain,5406,15,5
no,275.22,90,Rain,2882,19,5
no,283.22,92,Clouds,5271,12,4
no,286.88,40,Fog,350,3,6
no,272.28,90,Clouds,4152,18,7
no,257.88,90,Snow,847,4,3
no,278.49,90,Mist,2045,21,7
no,295.94,75,Clouds,2851,21,4
no,287.14,75,Clouds,1816,22,1
no,274.36,90,Snow,516,0,5
no,279.9,90,Clouds,5990,6,3
no,283.44,90,Rain,2856,20,4
no,271.79,90,Clouds,6541,7,2
no,267.02,90,Clouds,393,1,1
no,289.93,90,Clouds,4519,11,5
no,299.77,75,Clouds,4517,12,5
no,276.47,1,Clear,226,3,6
no,304.69,75,Clouds,3956,16,6
no,287.65,90,Mist,527,0,2
no,287.17,92,Clouds,5317,18,3
no,281.27,1,Clear,3006,5,3
no,275.23,90,Clouds,2939,20,3
no,276.49,90,Drizzle,2669,20,3
no,293.66,75,Drizzle,4257,12,4
no,289.71,90,Clouds,1221,0,3
no,301.86,8,Clear,2920,22,5
no,269.02,90,Clouds,1000,7,6
no,289.27,40,Clouds,5993,15,5
no,289.56,1,Mist,2316,22,6
no,281.06,90,Clouds,2579,5,1
no,294.91,1,Clear,381,1,1
no,253.39,5,Clear,3178,19,3
no,284.3,90,Clouds,2740,20,7
no,302.46,40,Clouds,5409,14,3
no,286.9,0,Clear,320,2,2
no,288.44,1,Clear,1253,0,3
no,280.69,1,Rain,5625,9,5
no,287.81,90,Mist,578,0,4
no,252.47,1,Clear,1017,4,2
no,295.58,90,Drizzle,4467,10,3
no,262.79,89,Clouds,3104,19,3
no,278.63,90,Thunderstorm,245,4,7
no,293.46,92,Rain,2864,21,2
no,275.44,20,Clouds,683,4,2
no,257.39,1,Clear,2154,19,2
no,294.26,1,Clear,2737,21,7
no,301.02,40,Clouds,4392,15,7
no,281.15,1,Clear,5338,14,4
no,291.75,90,Rain,310,2,3
no,246.47,13,Clouds,2486,5,3
no,260.42,1,Clear,369,2,3
no,294.54,75,Smoke,4264,18,7
no,294.18,1,Clear,2875,22,5
no,303.67,0,Clear,4594,18,2
no,289.28,40,Clouds,5640,14,2
no,288.37,90,Drizzle,6510,7,3
no,306.2,0,Clear,5542,14,1
no,276.72,1,Mist,4655,10,3
no,260.02,1,Clear,4789,11,6
no,273.96,90,Mist,4418,10,5
no,267.95,40,Clouds,528,5,2
no,300.35,40,Clouds,4473,13,6
no,275.942,24,Clouds,2001,21,7
no,255.75,75,Clouds,636,5,6
no,273.62,90,Clouds,4040,22,3
no,276.02,90,Rain,3764,19,5
no,293.31,40,Clouds,5149,14,3
no,274.98,90,Fog,3775,17,7
no,272.11,90,Clouds,5912,8,4
no,304.399,0,Clear,2639,20,4
no,284.938,76,Clouds,4664,14,2
no,293.02,90,Rain,4630,12,2
no,296.79,75,Thunderstorm,773,5,6
no,271.81,90,Mist,2150,7,6
no,269.51,1,Clear,2630,22,5
no,267.68,90,Mist,1994,8,7
no,271.98,90,Mist,1539,19,3
no,256.94,90,Snow,3410,9,1
no,297.52,75,Clouds,4442,12,1
no,255.93,40,Clouds,6017,7,4
no,278.29,1,Clear,302,2,3
no,294.65,1,Thunderstorm,356,4,2
no,298.3,5,Haze,2071,22,5
no,287.28,40,Clouds,1648,0,5
no,250.4,1,Clear,3675,13,1
no,279.06,40,Clouds,1832,23,4
no,280.18,90,Clouds,5419,17,5
no,295.01,90,Rain,4855,9,4
no,282.72,1,Clear,515,5,7
no,275.01,1,Clear,5580,6,4
no,254.917,0,Clear,5806,17,2
no,293.55,1,Clear,4807,11,1
no,282.5,90,Mist,942,4,1
no,293.3,1,Clear,688,0,4
no,301.08,20,Clouds,3288,19,2
no,264.75,90,Snow,473,2,5
no,293.37,90,Thunderstorm,851,4,5
no,271.63,90,Mist,690,2,7
no,280.73,1,Clear,306,2,5
no,292.12,1,Rain,241,6,6
no,275.68,90,Rain,1476,22,3
no,258.3,40,Snow,1963,21,2
no,276.79,90,Clouds,783,0,6
no,290.02,90,Mist,2681,20,1
no,257.72,1,Clear,4646,10,5
no,301.42,40,Clouds,3060,19,2
no,295.65,90,Rain,4236,11,7
no,281.516,0,Clear,2413,21,2
no,292.8,40,Clouds,4906,12,6
no,275.88,1,Clear,2766,5,5
no,271.48,90,Clouds,5702,15,2
no,292.12,40,Rain,1089,23,1
no,284.4,1,Clear,2274,21,7
no,273.43,1,Clear,2875,5,1
no,299.76,1,Clear,4550,18,3
no,302.54,0,Clear,5398,13,3
no,273.88,90,Mist,2557,20,1
no,290.17,1,Mist,855,1,7
no,289.68,75,Rain,2787,5,3
no,294.82,90,Thunderstorm,3346,21,4
no,274.01,75,Mist,2269,20,5
no,276.69,75,Clouds,4546,11,1
no,298.48,75,Clouds,4991,13,2
no,297.34,90,Drizzle,3518,17,1
no,294.95,1,Clear,818,4,7
no,278.58,90,Rain,2308,21,3
no,272.93,90,Clouds,2913,20,4
no,287.03,75,Clouds,4756,13,2
no,292.86,90,Rain,2903,20,4
no,291.13,90,Clouds,4872,12,1
no,292.84,1,Clear,4184,18,3
no,276.58,90,Clouds,993,23,7
no,291.03,75,Clouds,4384,13,7
no,290.79,8,Clear,1392,0,5
no,258.28,1,Clear,1011,7,7
no,293.81,1,Rain,5821,8,1
no,266.51,90,Clouds,6920,7,3
no,274.22,1,Mist,5636,6,1
no,285.0,40,Clouds,5193,14,5
no,303.94,40,Clouds,6311,16,5
no,286.22,90,Drizzle,4734,10,4
no,272.08,1,Mist,497,5,6
no,294.15,12,Clouds,4872,10,2
no,293.81,40,Clouds,1606,22,4
no,269.22,5,Clear,3724,18,4
no,285.65,1,Fog,934,4,2
no,285.059,68,Clouds,1030,23,7
no,262.06,1,Clear,2946,10,1
no,265.55,40,Snow,5710,9,1
no,270.91,90,Mist,302,2,6
no,258.99,90,Mist,4984,12,4
no,293.46,32,Clouds,370,2,5
no,280.75,1,Clear,913,4,3
no,293.42,90,Clouds,1118,6,3
no,274.02,90,Snow,849,0,5
no,293.54,90,Mist,452,1,3
no,295.87,40,Clouds,842,1,6
no,286.48,1,Clear,2358,23,7
no,272.81,20,Clouds,6185,16,5
no,285.07,90,Rain,856,4,1
no,304.49,40,Clouds,3434,19,3
no,271.26,86,Clouds,4816,13,1
no,264.72,1,Clear,5695,15,4
no,296.4,24,Clouds,891,4,4
no,296.82,1,Clear,755,0,5
no,291.58,1,Clear,3508,19,7
no,267.46,1,Clear,6474,7,1
no,274.06,90,Mist,582,0,1
no,254.94,1,Clear,2490,9,2
no,274.55,90,Mist,3713,15,6
no,263.07,40,Clouds,3498,11,7
no,273.15,40,Clouds,3136,8,6
no,294.95,75,Thunderstorm,2626,21,4
no,276.46,90,Clouds,4992,18,5
no,291.62,40,Thunderstorm,1142,23,5
no,257.86,75,Clouds,4448,12,4
no,295.35,1,Thunderstorm,261,2,4
no,256.48,1,Clear,6504,16,2
no,256.15,1,Clear,3994,14,1
no,278.83,90,Rain,5367,14,3
no,294.86,40,Mist,4734,10,4
no,285.57,75,Clouds,3023,17,4
no,280.49,0,Clear,1219,23,7
no,274.29,1,Clear,2821,5,5
no,289.27,75,Clouds,4765,14,7
no,255.09,40,Clouds,6115,8,3
no,291.14,44,Clouds,4825,14,5
no,287.35,1,Clear,5846,6,4
no,287.81,90,Mist,306,2,5
no,286.19,76,Clouds,6541,16,6
no,256.72,64,Clouds,3172,19,7
no,291.25,40,Rain,6468,7,7
no,300.46,12,Rain,3147,20,5
no,296.37,40,Thunderstorm,2727,20,5
no,291.94,90,Mist,5990,8,4
no,276.62,90,Drizzle,550,0,7
no,269.93,93,Clouds,774,1,3
no,293.84,75,Clouds,2007,22,2
no,282.34,40,Clouds,4602,13,5
no,294.37,1,Clear,5574,6,1
no,284.62,1,Clear,2485,22,3
no,267.68,90,Snow,5246,14,4
no,274.36,90,Snow,3000,19,1
no,289.36,75,Drizzle,6122,17,3
no,282.29,92,Rain,5452,6,2
no,296.48,1,Clear,4241,14,7
no,288.29,1,Mist,1055,6,6
no,283.21,75,Clouds,5981,15,5
no,280.21,1,Clear,532,0,3
no,286.15,1,Fog,916,4,2
no,271.37,1,Clear,1642,0,7
no,298.52,1,Clear,3015,20,3
no,273.15,90,Mist,2763,5,2
no,288.72,90,Clouds,1605,22,1
no,287.26,90,Clouds,5143,9,6
no,297.15,1,Clear,1314,0,7
no,272.15,90,Clouds,2753,21,4
no,266.68,90,Mist,3426,15,6
no,268.65,1,Clear,1813,20,2
no,257.78,1,Clear,1647,8,7
no,288.95,5,Clear,5196,12,1
no,290.05,1,Clear,5993,6,2
no,270.01,90,Clouds,1802,22,4
no,289.8,75,Haze,5281,13,3
no,292.82,1,Clear,997,1,7
no,272.04,64,Clouds,3278,19,3
no,286.86,0,Clear,5476,6,4
no,292.82,1,Rain,701,0,2
no,272.39,90,Mist,926,23,3
no,283.42,75,Clouds,6268,17,5
no,257.29,75,Snow,4929,11,3
no,269.979,0,Clear,2577,5,5
no,287.27,90,Clouds,6026,8,5
no,276.42,90,Mist,373,3,5
no,296.16,1,Haze,5273,11,3
no,291.03,75,Clouds,2903,20,4
no,290.99,90,Thunderstorm,557,2,7
no,290.72,1,Mist,4557,10,2
no,292.69,40,Clouds,863,5,6
no,295.49,75,Clouds,5347,17,1
no,291.16,1,Mist,984,6,6
no,299.55,40,Clouds,4794,16,4
no,280.3,90,Fog,368,5,3
no,290.61,40,Clouds,1012,7,6
no,275.2,90,Rain,5161,13,2
no,272.75,64,Clouds,1444,22,1
no,284.6,1,Clear,656,1,6
no,296.6,40,Clouds,3862,12,7
no,268.32,75,Clouds,713,5,7
no,284.86,90,Rain,535,0,2
no,287.12,40,Clouds,2017,20,1
no,282.58,20,Clouds,6610,16,5
no,282.9,90,Mist,1125,23,3
no,291.21,90,Thunderstorm,6369,8,1
no,276.42,90,Clouds,584,2,6
no,275.79,90,Mist,5901,15,5
no,301.51,75,Clouds,4771,18,7
no,299.21,1,Clear,2721,11,6
no,289.01,1,Clear,405,3,6
no,288.59,36,Clouds,2947,20,5
no,295.16,0,Clear,5817,15,1
no,265.48,90,Clouds,3612,18,6
no,289.71,1,Mist,693,2,7
no,295.3,24,Clouds,387,3,3
no,267.16,1,Mist,5226,8,5
no,289.07,1,Clear,411,3,6
no,297.62,20,Clouds,3948,10,6
no,281.28,100,Drizzle,1824,7,6
no,294.04,1,Clear,482,1,1
no,303.62,20,Clouds,5135,18,4
no,272.91,90,Mist,5960,7,1
no,259.33,1,Clear,3049,20,5
no,287.08,75,Rain,3117,19,2
no,294.58,90,Drizzle,3571,18,4
no,255.93,1,Haze,676,5,6
no,302.07,40,Clouds,6663,16,4
no,266.9,1,Clear,2750,5,1
no,296.43,75,Thunderstorm,6778,7,5
no,301.38,1,Clear,5241,18,5
no,296.35,1,Drizzle,2728,22,5
no,266.28,90,Fog,2706,17,7
no,261.18,90,Clouds,2795,19,7
no,255.87,1,Clear,343,3,6
no,294.42,1,Clear,3619,19,4
no,277.15,75,Clouds,3801,11,6
no,296.6,8,Clear,3782,19,6
no,299.32,1,Clear,4815,13,4
no,276.58,90,Mist,5170,9,5
no,264.4,90,Clouds,1659,23,5
no,270.22,40,Clouds,4284,17,7
no,274.72,90,Mist,4819,15,4
no,279.64,64,Rain,4077,14,6
no,255.82,1,Clear,759,1,6
no,300.82,90,Clouds,3743,14,1
no,297.01,90,Rain,5074,12,5
no,272.21,90,Snow,4958,14,2
no,270.57,1,Clear,4317,10,3
no,297.08,90,Rain,1141,23,1
no,287.32,90,Mist,4016,11,7
no,279.32,90,Clouds,3833,17,2
no,292.22,90,Drizzle,4592,10,5
no,275.22,75,Clouds,254,2,1
no,271.391,92,Clouds,2443,21,2
no,274.63,20,Clouds,2620,5,5
no,273.09,75,Clouds,401,3,5
no,280.21,5,Clear,5027,12,4
no,299.42,88,Clouds,3089,20,5
no,283.8,1,Clear,2171,22,4
no,270.62,90,Mist,1941,7,6
no,276.32,75,Clouds,3192,20,3
no,284.86,1,Clear,1974,7,6
no,275.71,90,Haze,307,3,7
no,269.37,1,Clear,3003,21,6
no,266.5,1,Mist,5194,9,3
no,268.22,1,Clear,837,4,7
no,293.5,90,Clouds,4321,15,1
no,292.08,5,Clear,3942,21,2
no,271.55,90,Mist,4166,13,7
no,298.24,1,Clear,3609,21,6
no,283.35,1,Clear,384,1,4
no,274.49,1,Clear,459,3,3
no,284.23,92,Drizzle,6279,17,4
no,272.44,90,Mist,1774,23,5
no,295.68,1,Clear,6725,16,2
no,271.93,90,Clouds,2919,19,7
no,291.61,90,Thunderstorm,360,3,1
no,294.52,1,Clear,4636,17,6
no,270.675,92,Clouds,5103,8,3
no,288.21,1,Haze,2410,10,3
no,275.11,90,Drizzle,3521,19,5
no,274.15,90,Mist,5266,16,2
no,281.44,90,Clouds,4962,16,7
no,283.86,24,Clouds,2535,7,7
no,293.69,1,Clear,1152,23,7
no,297.49,0,Rain,4338,17,7
no,282.61,90,Rain,4667,10,5
no,266.4,90,Snow,3302,16,7
no,281.65,40,Clouds,4362,11,5
no,264.51,90,Snow,3752,16,5
no,286.96,1,Clear,4911,12,5
no,275.73,90,Clouds,704,4,2
no,269.02,1,Clear,3592,10,7
no,253.9,1,Clear,2846,19,2
no,280.36,40,Clouds,6807,7,2
no,272.29,90,Clouds,6190,8,4
no,294.51,88,Rain,4731,10,1
no,288.94,75,Rain,864,4,5
no,293.08,75,Rain,6037,17,4
no,296.3,75,Clouds,4509,11,1
no,296.78,0,Clear,5343,12,4
no,294.83,40,Clouds,296,2,5
no,292.51,90,Drizzle,5317,14,4
no,280.07,75,Clouds,6306,17,4
no,286.33,1,Clear,4506,11,2
no,301.09,0,Clear,4016,19,4
no,284.32,20,Clouds,5521,13,5
no,286.92,90,Rain,2901,21,5
no,297.15,1,Rain,443,3,6
no,289.72,1,Clear,2059,22,6
no,277.08,75,Haze,1722,8,7
no,274.3,64,Rain,4739,13,2
no,272.58,90,Clouds,3423,19,6
no,284.79,90,Rain,5847,15,1
no,285.94,90,Rain,4585,11,1
no,279.76,5,Clear,5943,15,4
no,272.8,90,Mist,330,1,1
no,269.35,90,Haze,2883,20,3
no,289.7,1,Rain,5432,6,5
no,281.08,75,Clouds,3496,19,2
no,292.69,90,Rain,2559,20,1
no,266.93,75,Mist,2890,22,5
no,276.09,1,Rain,869,4,3
no,302.42,5,Clear,2835,20,1
no,297.84,1,Clear,6556,16,2
no,287.16,1,Mist,847,5,6
no,270.62,90,Snow,1849,17,7
no,294.79,75,Clouds,5621,17,4
no,271.52,1,Clear,317,3,3
no,263.57,64,Snow,5008,13,6
no,255.32,1,Clear,293,1,2
no,288.9,1,Clear,3705,10,3
no,290.53,1,Mist,5354,8,2
no,294.97,80,Clouds,400,3,7
no,292.84,90,Rain,1752,21,6
